Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
27,30/6/2024 - 6/7/2024,,0,0,1,2,0,0,0,0,327,0,0,1,0,0,1,0,0,0,0,2,12,0,1,2,0,1,0,0,29,0,0,0,0,0,0,0,1,0,2449,74,454,6,34
28,7/7/2024 - 13/7/2024,,0,0,1,1,0,0,0,0,291,0,1,0,0,0,2,0,0,0,0,0,11,1,0,2,0,4,1,0,33,0,1,0,0,1,0,0,0,0,2701,74,476,7,36
29,14/7/2024 - 20/7/2024,,0,0,1,3,1,0,0,0,236,0,0,0,0,0,8,0,0,0,2,1,11,0,2,3,0,2,2,0,36,0,0,0,0,0,0,0,0,0,2719,78,458,7,41
30,21/7/2024 - 27/7/2024,,0,1,0,4,3,0,0,0,309,2,3,0,0,0,4,0,0,0,2,1,9,0,0,0,0,1,4,0,38,0,0,0,0,0,0,0,0,0,2412,83,452,8,43
31,28/7/2024 - 3/8/2024,,1,0,1,0,1,0,0,0,274,0,0,1,0,0,4,0,0,0,1,2,10,0,2,1,0,4,2,0,34,0,0,0,0,0,0,4,0,0,2242,79,458,7,39
32,4/8/2024 - 10/8/2024,,1,0,2,0,0,0,0,0,218,0,0,1,0,0,6,0,0,0,2,0,7,0,0,0,0,2,0,0,31,0,0,0,0,0,0,6,2,0,2165,79,460,7,42
33,11/8/2024 - 17/8/2024,,0,0,2,1,0,0,0,0,215,1,0,1,0,0,3,0,0,0,1,1,8,0,1,0,0,3,2,0,36,0,0,0,0,0,0,4,1,0,2285,81,467,6,33
34,18/8/2024 - 24/8/2024,,1,0,0,3,1,0,0,0,185,0,3,1,0,0,8,0,0,0,0,0,9,0,1,5,0,4,2,0,31,0,1,0,0,0,0,0,0,0,2391,87,459,6,30
35,25/8/2024 - 31/8/2024,,0,0,1,2,0,0,0,0,179,0,0,0,0,0,4,0,0,0,0,1,4,0,2,0,0,2,2,0,42,0,0,0,0,0,0,5,1,0,2285,74,405,6,31
36,1/9/2024 - 7/9/2024,,0,1,0,3,1,0,0,0,189,1,0,0,0,0,8,0,0,0,2,0,13,0,0,1,0,1,2,0,26,0,0,0,0,0,0,0,1,0,2130,81,402,4,29
