Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Monkeypox,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
27,3/7/2022 - 9/7/2022,,0,0,0,1,2,0,0,0,1163,0,0,0,128,0,0,3,5,0,0,0,0,0,8,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,16006,197,2099,16
28,10/7/2022 - 16/7/2022,,0,1,0,1,3,0,0,0,918,0,0,2,107,0,0,2,4,0,0,0,1,0,6,0,2,1,0,0,3,0,33,0,0,0,0,0,0,0,14475,164,1648,20
29,17/7/2022 - 23/7/2022,,0,0,4,3,0,0,0,0,1035,1,1,1,93,0,0,0,4,0,0,0,1,0,9,0,1,0,0,0,1,0,31,0,0,0,0,0,0,0,16597,224,2020,21
30,24/7/2022 - 30/7/2022,,0,0,2,1,1,0,0,0,1090,0,1,2,127,0,0,5,9,0,0,0,2,1,3,0,2,1,1,0,0,0,18,0,0,0,0,0,0,0,15989,214,2056,18
31,31/7/2022 - 6/8/2022,,0,0,2,0,1,0,0,0,896,2,0,1,124,0,0,4,9,0,0,0,0,1,3,0,1,0,0,0,1,0,17,0,0,0,0,0,0,0,14670,228,2198,21
32,7/8/2022 - 13/8/2022,,0,0,2,0,1,0,0,0,876,0,0,0,143,0,1,0,6,0,0,0,0,0,4,0,2,1,0,0,1,0,17,0,0,0,0,0,0,1,12033,196,1826,16
33,14/8/2022 - 20/8/2022,,0,0,1,2,0,0,0,0,679,0,0,0,141,0,0,1,2,0,0,0,1,0,6,0,1,0,0,0,4,0,17,0,0,0,0,0,0,1,12794,237,2172,22
34,21/8/2022 - 27/8/2022,,0,0,3,0,2,0,0,0,661,1,1,0,135,0,0,0,3,0,0,0,0,1,3,1,1,0,0,0,1,0,26,0,1,0,0,0,0,0,11664,260,2192,15
35,28/8/2022 - 3/9/2022,,0,0,3,0,0,0,0,0,581,4,0,0,170,0,0,0,3,0,0,0,1,2,3,0,3,1,0,0,1,0,32,0,0,0,0,0,0,0,10989,240,1966,15
36,4/9/2022 - 10/9/2022,,0,1,3,0,2,0,0,0,570,1,0,1,139,0,0,3,5,0,0,0,0,0,3,1,0,2,0,0,2,0,22,0,0,0,0,0,0,0,11298,201,1855,18
37,11/9/2022 - 17/9/2022,,0,0,1,0,0,0,0,0,544,0,1,1,128,0,0,0,3,0,0,0,0,2,4,1,0,1,0,0,1,0,18,0,0,0,0,0,0,0,13752,279,2168,21
38,18/9/2022 - 24/9/2022,,0,0,1,0,0,0,0,0,472,0,0,1,130,0,0,0,7,0,0,0,2,1,3,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,13837,275,2139,19
39,25/9/2022 - 1/10/2022,,0,0,0,0,3,0,0,0,426,0,0,1,129,0,0,0,5,0,0,0,1,2,8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,14246,257,1918,17
40,2/10/2022 - 8/10/2022,,0,0,0,0,0,0,0,0,397,0,0,1,115,0,0,0,4,0,0,0,0,0,3,1,1,0,0,0,1,1,25,0,0,0,0,0,0,0,15755,253,1870,17
41,9/10/2022 - 15/10/2022,,0,0,0,0,1,0,0,0,376,0,0,1,108,0,0,0,3,0,0,0,0,2,4,1,0,0,1,0,2,0,26,0,0,0,0,0,0,0,19327,220,1928,17
42,16/10/2022 - 22/10/2022,,0,0,0,2,1,0,0,0,373,0,0,0,86,0,0,0,4,0,0,0,0,2,5,0,1,2,0,0,4,0,19,0,0,0,0,0,0,0,18382,253,1804,15
43,23/10/2022 - 29/10/2022,,0,1,1,1,1,0,0,0,313,0,0,0,58,0,0,0,4,0,0,0,0,2,4,0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,14137,251,1660,10
44,30/10/2022 - 5/11/2022,,0,0,2,1,1,0,0,0,318,1,1,3,75,0,1,0,7,0,0,0,1,0,8,0,1,3,0,0,2,0,23,0,1,0,0,0,0,0,14271,283,2043,17
45,6/11/2022 - 12/11/2022,,0,0,2,0,0,0,0,0,294,0,0,1,88,0,0,0,2,0,0,0,0,0,6,0,3,1,0,0,1,0,28,0,0,0,0,0,0,0,12618,283,2163,22
46,13/11/2022 - 19/11/2022,,0,1,0,2,0,0,0,0,315,3,0,2,81,0,0,0,2,0,0,0,0,0,7,1,3,1,0,0,1,0,30,0,0,0,0,0,0,1,12014,252,1915,15
47,20/11/2022 - 26/11/2022,,0,1,2,2,2,0,0,0,263,0,0,0,77,0,0,0,4,0,0,0,1,0,9,0,3,2,0,1,3,0,27,0,0,0,0,0,0,0,11613,298,1933,27
48,27/11/2022 - 3/12/2022,,0,0,0,1,1,0,0,0,242,0,1,1,63,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,11048,271,1820,26
49,4/12/2022 - 10/12/2022,,0,0,0,0,1,0,0,0,327,1,1,0,85,0,1,0,1,0,0,0,0,0,6,0,3,0,0,0,3,0,18,0,0,0,0,0,0,0,10937,311,1950,21
50,11/12/2022 - 17/12/2022,,0,0,0,0,1,0,0,0,290,1,1,1,91,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,17,0,0,0,0,0,0,1,11507,260,1788,23
51,18/12/2022 - 24/12/2022,,0,0,0,3,1,0,0,0,270,0,0,0,75,0,0,0,3,0,,0,1,0,8,1,0,1,0,1,3,0,19,0,0,0,0,0,0,0,11924,337,1791,34
52,25/12/2022 - 31/12/2022,,0,2,1,1,1,0,0,0,283,0,1,2,55,0,0,0,,0,0,0,0,0,7,1,1,1,0,0,4,0,27,0,0,0,0,0,0,0,10511,287,1441,30
