Weekly Infectious Disease Bulletin - Year 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,29/12/2019,04/01/2020,0,0,1,2,1,0,0,0,302,1,1,3,85,0,0,7,0,0,0,1,0,0,15,2,0,0,2,1,3,0,19,0,0,0,0,0,0,0,3842,125,640,21
2,05/01/2020,11/01/2020,0,1,2,1,0,0,0,0,342,1,1,1,82,0,1,11,0,0,0,2,0,0,9,1,0,0,0,0,3,0,25,0,0,0,0,0,0,0,3585,108,604,16
3,12/01/2020,18/01/2020,0,0,2,1,1,0,0,0,402,2,1,1,112,0,2,9,1,0,0,2,0,0,8,0,0,2,0,1,2,0,26,0,0,0,0,0,0,0,3708,106,589,15
4,19/01/2020,25/01/2020,0,1,3,1,0,0,0,0,307,2,0,0,61,0,1,6,0,0,0,1,0,1,10,0,1,1,1,0,2,0,32,0,0,0,0,0,0,1,3811,97,626,13
5,26/01/2020,01/02/2020,0,0,1,0,1,0,0,0,370,0,0,1,114,0,0,5,0,0,0,1,0,1,6,0,0,0,0,0,6,1,33,0,0,0,0,0,0,0,4728,83,541,16
6,02/02/2020,08/02/2020,0,0,1,0,3,0,0,0,400,0,0,1,79,0,1,10,0,0,0,2,0,1,9,0,2,2,0,2,3,0,42,0,0,0,0,0,0,1,3791,84,539,11
7,09/02/2020,15/02/2020,0,0,0,0,2,0,0,0,378,2,1,2,58,0,2,7,0,0,0,1,0,0,7,0,2,1,0,0,3,0,26,0,0,0,0,0,0,0,3150,63,431,11
8,16/02/2020,22/02/2020,0,1,1,0,1,0,0,0,380,1,0,0,58,0,0,9,0,0,0,0,0,0,9,0,1,1,0,0,1,0,22,0,0,0,0,0,0,0,2826,83,407,9
9,23/02/2020,29/02/2020,0,2,1,1,0,0,0,0,373,1,0,0,59,0,0,7,0,0,0,2,0,1,3,1,0,0,0,0,2,0,38,0,0,0,0,0,0,0,2473,63,404,11
10,01/03/2020,07/03/2020,0,1,1,1,3,0,0,0,375,0,0,0,46,0,1,5,0,0,0,0,0,0,8,1,1,0,0,1,1,0,53,0,1,0,0,0,0,0,2317,65,399,11
11,08/03/2020,14/03/2020,0,1,3,1,1,0,0,0,389,0,1,0,42,0,0,4,0,0,0,0,0,0,7,0,0,1,0,3,0,0,41,0,0,0,0,0,0,1,2288,56,369,8
12,15/03/2020,21/03/2020,0,0,2,2,1,0,0,0,367,1,1,1,35,0,1,3,0,0,0,2,0,0,9,0,1,1,1,0,1,0,44,0,0,0,0,0,0,0,2378,46,367,5
13,22/03/2020,28/03/2020,0,0,0,0,0,0,0,0,377,0,0,0,22,0,1,7,0,0,0,0,0,1,4,0,2,1,0,0,1,0,32,0,0,0,0,0,0,0,2592,50,344,6
14,29/03/2020,04/04/2020,0,2,3,1,1,0,0,0,315,0,0,0,22,0,0,5,0,0,0,3,0,0,11,0,2,0,0,1,2,0,20,0,0,0,0,0,0,0,2065,45,259,6
15,05/04/2020,11/04/2020,0,0,0,0,1,0,0,0,341,2,0,0,6,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1558,38,179,5
16,12/04/2020,18/04/2020,0,0,2,1,1,0,0,0,360,0,1,0,4,0,0,3,0,0,0,0,0,0,9,0,0,0,0,1,1,0,17,0,0,0,0,0,0,0,1121,32,140,3
