Weekly Infectious Disease Bulletin - Year 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
17,19/04/2020,25/04/2020,0,1,1,0,0,0,0,0,399,1,0,0,6,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,29,0,0,0,0,0,0,0,835,34,135,3
18,26/04/2020,02/05/2020,0,0,1,1,1,0,0,0,390,0,0,0,2,0,0,6,0,0,0,1,0,0,4,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,683,36,140,3
19,03/05/2020,09/05/2020,0,0,0,0,0,0,0,0,502,5,0,0,5,0,0,7,0,0,0,1,0,0,4,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0,620,35,148,3
20,10/05/2020,16/05/2020,0,0,0,0,2,0,0,0,524,2,0,0,2,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,575,33,141,3
21,17/05/2020,23/05/2020,0,0,1,0,1,0,0,0,618,1,0,0,4,0,0,3,0,0,0,2,0,0,3,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,505,32,153,1
22,24/05/2020,30/05/2020,0,0,0,1,2,0,0,0,731,1,0,0,2,0,0,4,0,0,0,1,0,0,8,0,0,1,0,0,0,0,32,0,0,0,0,0,1,0,571,36,141,2
23,31/05/2020,06/06/2020,0,0,0,1,1,0,0,0,868,0,0,0,1,0,0,6,0,0,0,2,0,0,12,0,1,0,0,0,0,0,29,0,0,0,0,0,0,1,268,18,55,1
24,07/06/2020,13/06/2020,0,0,0,0,0,0,0,0,1151,2,0,0,4,0,0,5,0,0,0,0,0,0,8,0,1,0,1,0,0,0,37,0,0,0,0,0,0,0,839,40,199,1
25,14/06/2020,20/06/2020,0,0,0,0,0,0,0,0,1369,2,0,0,5,0,0,4,0,0,0,1,0,0,8,1,1,0,1,0,0,0,41,0,0,0,0,0,0,0,808,40,216,2
26,21/06/2020,27/06/2020,0,0,0,0,0,0,0,0,1460,0,0,0,12,0,0,8,0,0,0,0,0,0,9,1,0,1,0,0,0,0,34,0,0,0,0,0,0,0,829,48,261,2
27,28/06/2020,04/07/2020,0,0,0,1,1,0,0,0,1444,4,1,0,7,0,0,9,0,0,0,1,0,1,14,1,0,3,0,0,0,0,32,0,0,0,0,0,0,0,859,48,292,3
28,05/07/2020,11/07/2020,0,0,0,2,1,0,0,0,1665,2,0,0,6,0,0,5,0,0,0,0,0,0,7,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,663,37,233,3
29,12/07/2020,18/07/2020,0,0,0,0,1,0,0,0,1725,4,0,0,2,0,0,7,0,0,0,1,0,0,14,0,1,1,0,0,0,0,34,0,0,0,0,0,0,0,871,48,308,5
30,19/07/2020,25/07/2020,0,0,0,0,0,0,0,0,1791,1,2,0,13,0,0,7,0,0,0,0,0,2,10,0,1,1,0,0,1,0,32,0,0,0,0,0,0,0,709,48,285,3
31,26/07/2020,01/08/2020,0,0,0,0,1,0,0,0,1376,2,0,0,8,0,0,2,0,0,0,1,0,0,9,0,1,0,0,0,1,0,26,0,0,0,0,0,0,0,762,46,342,3
32,02/08/2020,08/08/2020,0,0,1,0,0,0,0,0,1667,0,0,0,6,0,0,3,0,0,0,0,0,0,18,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,780,45,336,4
33,09/08/2020,15/08/2020,0,0,0,1,0,0,0,0,1336,3,0,0,6,0,0,6,0,0,0,0,0,0,18,1,2,0,0,0,1,0,27,0,0,0,0,0,0,0,710,46,362,4
34,16/08/2020,22/08/2020,0,0,1,0,0,0,0,0,1285,2,0,0,11,0,0,5,0,0,0,1,0,1,8,0,1,1,1,0,1,0,35,0,0,0,0,0,0,0,705,47,343,4
35,23/08/2020,29/08/2020,0,0,0,0,2,0,0,0,1153,1,2,0,4,0,0,4,0,0,0,0,0,1,10,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,730,48,355,3
36,30/08/2020,05/09/2020,0,0,0,2,2,0,0,0,937,1,1,1,5,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,1,0,44,0,0,0,0,0,0,1,692,39,314,4
37,06/09/2020,12/09/2020,0,0,0,0,3,0,0,0,725,0,0,1,3,0,0,6,0,0,0,0,0,1,10,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,818,46,291,4
38,13/09/2020,19/09/2020,0,0,0,1,1,0,0,0,671,0,0,0,9,0,0,5,0,0,0,1,0,1,11,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1123,49,335,5
39,20/09/2020,26/09/2020,0,0,1,1,1,0,0,0,590,1,0,0,12,0,0,2,0,0,0,0,0,0,7,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,1218,51,339,5
40,27/09/2020,03/10/2020,0,0,1,0,0,0,0,0,605,0,0,0,6,0,0,5,0,0,0,1,0,0,8,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,1058,44,303,5
41,04/10/2020,10/10/2020,0,0,0,0,2,0,0,0,528,1,0,0,9,0,0,7,0,0,0,1,0,0,9,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,988,48,339,4
42,11/10/2020,17/10/2020,0,0,0,0,0,0,0,0,591,1,0,0,7,0,2,7,0,0,0,1,0,0,17,0,1,2,0,0,0,0,23,0,0,0,0,0,0,0,917,50,336,4
43,18/10/2020,24/10/2020,0,0,0,0,2,0,0,0,563,2,0,0,14,0,0,9,0,0,0,0,0,0,11,0,3,1,0,0,0,0,25,0,0,0,0,0,0,0,796,49,304,5
44,25/10/2020,31/10/2020,0,0,0,0,4,0,0,0,440,0,0,0,14,0,0,8,0,0,0,0,0,0,14,1,1,1,0,0,0,0,41,0,0,0,0,0,0,2,802,50,327,4
45,01/11/2020,07/11/2020,0,0,0,0,1,0,0,0,408,0,0,0,8,0,0,2,0,0,0,1,0,0,14,1,2,0,0,0,1,0,13,0,0,0,0,0,0,0,806,48,312,5
46,08/11/2020,14/11/2020,0,0,0,2,0,0,0,0,354,1,0,0,9,0,0,3,0,0,0,0,0,0,7,1,0,2,0,0,0,0,20,0,0,0,0,0,0,0,820,41,342,4
47,15/11/2020,21/11/2020,0,0,0,0,1,0,0,0,258,0,0,0,9,0,0,6,0,0,0,3,0,1,11,0,1,0,0,0,2,0,19,0,0,0,0,0,0,0,760,44,295,5
48,22/11/2020,28/11/2020,0,0,0,0,0,0,0,0,279,0,0,0,6,0,0,4,0,0,0,1,0,1,7,0,1,3,0,0,0,0,29,0,0,0,0,0,0,0,772,41,295,4
49,29/11/2020,05/12/2020,0,0,0,0,2,0,0,0,228,0,0,0,8,0,0,7,0,0,0,1,0,0,16,0,1,1,0,0,1,0,36,0,0,0,0,0,0,0,769,43,263,4
50,06/12/2020,12/12/2020,0,0,0,0,0,0,0,0,227,0,0,0,7,0,0,5,0,0,0,0,0,0,10,1,1,0,0,0,0,0,41,0,0,0,0,0,0,0,779,43,279,4
51,13/12/2020,19/12/2020,0,0,0,0,0,0,0,0,236,0,0,0,7,0,0,4,0,0,0,0,0,0,10,0,2,3,0,0,0,0,40,0,0,0,0,0,0,0,784,41,274,3
52,20/12/2020,26/12/2020,0,0,0,0,1,0,0,0,196,0,0,0,5,0,0,2,0,0,0,1,0,1,8,0,3,1,0,0,0,0,28,0,0,0,0,0,0,0,848,48,279,5
53,27/12/2020,02/01/2021,0,0,0,1,0,0,0,0,193,1,0,0,4,0,0,6,0,0,0,1,0,1,19,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,849,45,309,4
