Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
27,29/06/2025 - 05/07/2025,,0,0,1,2,1,0,0,0,118,1,0,2,0,1,5,0,0,0,0,1,9,0,4,0,0,1,0,0,24,0,0,0,0,0,0,1,1,0,2147,88,473,5,25
28,06/07/2025 - 12/07/2025,,0,0,3,2,1,0,0,0,112,0,0,0,0,0,2,0,0,0,0,3,10,0,1,1,0,2,6,0,32,0,1,0,0,0,0,0,0,0,2148,83,461,5,20
29,13/07/2025 - 19/07/2025,,0,0,0,2,0,0,0,0,86,0,0,0,0,0,4,0,0,0,0,2,7,1,0,2,0,4,1,0,26,0,1,0,0,0,0,2,0,0,2282,85,461,6,20
30,20/07/2025 - 26/07/2025,,0,1,2,2,1,0,0,0,77,0,2,0,0,0,5,0,0,0,0,1,13,1,0,0,0,2,1,0,30,0,0,0,0,0,0,0,0,0,2304,87,493,4,20
31,27/07/2025 - 02/08/2025,,0,0,1,1,1,0,0,0,71,0,0,1,0,1,7,0,0,0,1,0,9,0,1,1,0,1,6,0,13,0,0,0,0,0,0,1,1,0,2298,87,475,4,22
32,03/08/2025 - 09/08/2025,,0,0,0,0,3,0,0,0,73,0,4,3,0,1,2,0,0,0,0,0,12,1,0,0,0,5,2,0,30,0,0,0,0,0,0,1,1,0,2274,86,517,5,16
33,10/08/2025 - 16/08/2025,,0,0,1,1,2,0,0,0,62,0,0,1,0,0,1,0,0,0,0,0,12,0,0,3,0,3,1,0,32,0,0,0,0,0,0,1,0,0,2353,88,463,6,19
34,17/08/2025 - 23/08/2025,,0,0,0,1,0,0,0,0,47,0,3,0,0,0,7,0,0,0,1,2,15,0,2,2,0,3,1,0,32,0,0,0,0,0,0,1,1,0,2501,79,477,6,16
35,24/08/2025 - 30/08/2025,,0,1,2,4,1,0,0,0,51,0,1,1,0,0,8,0,0,0,1,2,6,1,2,0,0,1,2,0,31,0,0,0,0,0,0,3,0,0,2553,90,481,7,19
36,31/08/2025 - 06/09/2025,,0,1,1,0,0,0,0,0,41,1,0,2,0,0,3,0,0,0,1,1,13,0,0,1,0,2,1,0,23,0,2,0,0,0,0,0,0,0,2520,82,451,5,16
37,07/09/2025 - 13/09/2025,,1,0,0,0,3,0,0,0,48,1,1,0,0,0,7,0,0,0,0,2,13,0,0,2,0,3,0,0,30,0,0,0,0,0,0,1,0,0,2498,86,404,5,13
38,14/09/2025 - 20/09/2025,,0,0,2,0,0,0,0,0,45,0,0,1,0,0,5,0,0,0,2,0,8,2,1,2,0,2,2,0,30,0,0,0,0,0,0,2,0,0,2809,98,453,7,17
39,21/09/2025 - 27/09/2025,,0,0,0,2,0,0,0,0,39,1,0,1,0,0,3,0,0,0,0,1,13,0,1,1,0,3,2,0,13,0,0,0,0,0,0,1,0,0,2748,95,452,7,18
40,28/09/2025 - 04/10/2025,,0,0,3,1,0,0,0,0,55,0,0,1,0,0,2,0,0,0,0,2,17,1,2,0,1,3,3,0,25,0,0,0,0,0,0,4,0,0,2646,94,435,3,17
41,05/10/2025 - 11/10/2025,,0,0,2,0,2,0,0,0,32,1,0,0,0,2,8,0,0,0,1,1,13,0,3,2,0,1,3,0,27,0,1,0,0,0,0,2,0,0,2715,86,442,4,16
42,12/10/2025 - 18/10/2025,,0,1,0,1,1,0,0,0,47,0,2,0,0,1,5,0,0,0,0,1,8,0,1,1,0,3,2,0,30,0,0,0,0,0,0,3,0,0,2776,88,430,5,14
43,19/10/2025 - 25/10/2025,,0,1,0,1,2,0,0,0,36,0,0,1,0,0,1,0,0,0,1,2,4,0,0,1,1,1,4,0,27,0,0,0,0,0,0,0,0,0,2691,93,444,6,11
44,26/10/2025 - 01/11/2025,,0,1,2,2,0,0,0,0,53,0,0,1,0,0,8,0,0,0,0,0,12,2,1,1,0,1,3,0,32,0,0,0,0,0,0,0,2,0,2592,87,425,4,11
45,02/11/2025 - 08/11/2025,,0,0,1,1,1,0,0,0,55,0,1,3,0,2,5,0,0,0,0,1,11,1,0,0,0,0,6,0,18,0,0,0,0,0,0,0,2,0,2487,82,403,4,11
46,09/11/2025 - 15/11/2025,,0,0,1,1,2,0,0,0,38,1,0,0,0,0,9,0,0,0,0,2,8,1,2,1,0,4,4,0,34,0,2,0,0,0,0,0,1,0,2445,88,401,3,14
47,16/11/2025 - 22/11/2025,,0,1,2,0,1,0,0,0,39,0,0,0,0,0,8,0,0,0,0,1,9,0,0,0,0,6,5,0,32,0,0,0,0,0,0,0,2,0,2443,87,437,5,14
48,23/11/2025 - 29/11/2025,,0,2,1,1,0,0,0,0,27,0,2,0,0,1,4,0,0,0,0,2,7,0,1,2,0,1,5,0,24,0,0,0,0,0,0,0,1,0,2450,81,409,3,11
49,30/11/2025 - 06/12/2025,,0,0,0,1,2,0,0,0,38,0,0,1,0,0,8,0,0,0,1,2,8,1,0,0,0,4,0,0,32,0,0,0,0,0,0,1,0,0,2452,74,383,2,11
50,07/12/2025 - 13/12/2025,,0,0,1,0,4,0,0,0,46,0,0,0,0,2,4,0,0,0,1,0,18,1,0,1,0,3,4,0,25,0,0,0,0,0,0,0,1,0,2523,86,397,4,8
51,14/12/2025 - 20/12/2025,,0,0,2,3,0,0,0,0,41,0,1,0,0,0,5,0,0,0,0,2,19,0,1,1,0,4,2,0,15,0,0,0,0,0,0,1,0,0,2452,84,400,5,8
52,21/12/2025 - 27/12/2025,,1,0,2,1,2,0,0,0,32,0,1,0,0,0,3,0,0,0,0,3,14,1,3,1,0,2,7,0,20,0,0,0,0,0,0,0,1,0,2735,113,428,6,16
53,28/12/2025 - 03/01/2026,,0,0,0,0,2,0,0,0,38,0,1,0,0,3,1,0,0,0,0,4,14,0,1,0,1,2,4,0,17,0,0,0,0,0,0,0,0,0,2832,119,478,7,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
